Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
10,1000,0.5,0.2,50.0,1000,48164,8987,170,50773.414062,0.003348
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,89388,8809,165,49296.496094,0.003347
2,1000,0.5,0.2,50.0,1000,87129,8733,198,49676.578125,0.003986
3,1000,0.5,0.2,50.0,1000,92067,9022,182,50396.734375,0.003611
4,1000,0.5,0.2,50.0,1000,92214,9060,166,50686.890625,0.003275
5,1000,0.5,0.2,50.0,1000,89813,8900,206,50819.667969,0.004054
6,1000,0.5,0.2,50.0,1000,90144,8858,187,49939.320312,0.003745
7,1000,0.5,0.2,50.0,1000,91513,9026,184,49976.562500,0.003682
8,1000,0.5,0.2,50.0,1000,90528,8749,170,49043.945312,0.003466
9,1000,0.5,0.2,50.0,1000,95597,9200,154,51437.128906,0.002994
10,1000,0.5,0.2,50.0,1000,90903,8847,158,50031.300781,0.003158
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,167142,8861,145,49604.718750,0.002923
2,1000,0.5,0.2,50.0,1000,163341,8938,179,50700.648438,0.003531
3,1000,0.5,0.2,50.0,1000,176426,9332,171,52042.074219,0.003286
4,1000,0.5,0.2,50.0,1000,167835,8934,144,50155.960938,0.002871
5,1000,0.5,0.2,50.0,1000,163118,8821,205,50488.171875,0.004060
6,1000,0.5,0.2,50.0,1000,158896,8465,168,47954.957031,0.003503
7,1000,0.5,0.2,50.0,1000,167198,8893,155,49160.496094,0.003153
8,1000,0.5,0.2,50.0,1000,174526,9065,148,50758.597656,0.002916
9,1000,0.5,0.2,50.0,1000,173205,8940,129,50197.503906,0.002570
10,1000,0.5,0.2,50.0,1000,168253,8822,168,49949.203125,0.003363
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
